,Currency,RMSE,Tomorrow,Tomorrow+1
0,ada,0.06938530571025403,0.9103270173072815,0.9103270173072815
0,atom,2.1713252908137455,21.9807186126709,21.551288604736328
0,avax,5.2213154842955625,71.17642974853516,71.17642974853516
0,axs,5.776248206855418,56.34248352050781,55.71621322631836
0,btc,1048.1548257124612,39026.05078125,39959.55078125
0,eth,130.52684366653097,2870.13525390625,2865.40234375
0,link,0.8681123785785104,14.506731986999512,14.440706253051758
0,luna1,20.364699475131307,72.6405029296875,75.51429748535156
0,matic,0.07870155168865467,1.2591676712036133,1.2767176628112793
0,sol,6.856162867759423,109.43305206298828,103.55824279785156
